Using 'fifo' page replacement algorithm
 P | f1 f2 f3 f4 f5 f6 f7  | fault?
---+-----------+---------
 7 |  7 -1 -1 -1 -1 -1 -1  | 
 6 |  7  6 -1 -1 -1 -1 -1  | 
 4 |  7  6  4 -1 -1 -1 -1  | 
12 |  7  6  4 12 -1 -1 -1  | 
20 |  7  6  4 12 20 -1 -1  | 
 3 |  7  6  4 12 20  3 -1  | 
 8 |  7  6  4 12 20  3  8  | 
11 | 11  6  4 12 20  3  8  | Page fault
13 | 11 13  4 12 20  3  8  | Page fault
 6 | 11 13  6 12 20  3  8  | Page fault
 1 | 11 13  6  1 20  3  8  | Page fault
 8 | 11 13  6  1 20  3  8  | 
24 | 11 13  6  1 24  3  8  | Page fault
11 | 11 13  6  1 24  3  8  | 
 6 | 11 13  6  1 24  3  8  | 
10 | 11 13  6  1 24 10  8  | Page fault
14 | 11 13  6  1 24 10 14  | Page fault
 7 |  7 13  6  1 24 10 14  | Page fault
13 |  7 13  6  1 24 10 14  | 
 8 |  7  8  6  1 24 10 14  | Page fault
23 |  7  8 23  1 24 10 14  | Page fault
 8 |  7  8 23  1 24 10 14  | 
22 |  7  8 23 22 24 10 14  | Page fault
21 |  7  8 23 22 21 10 14  | Page fault
11 |  7  8 23 22 21 11 14  | Page fault
18 |  7  8 23 22 21 11 18  | Page fault
22 |  7  8 23 22 21 11 18  | 
23 |  7  8 23 22 21 11 18  | 
22 |  7  8 23 22 21 11 18  | 
12 | 12  8 23 22 21 11 18  | Page fault
21 | 12  8 23 22 21 11 18  | 
 6 | 12  6 23 22 21 11 18  | Page fault
17 | 12  6 17 22 21 11 18  | Page fault
18 | 12  6 17 22 21 11 18  | 
20 | 12  6 17 20 21 11 18  | Page fault
19 | 12  6 17 20 19 11 18  | Page fault
 9 | 12  6 17 20 19  9 18  | Page fault
Statistics:
faults/non-faults/total accesses: 20/17/37
Total page faults 20. Page faults with optimal algo: 14
