Using 'lru' page replacement algorithm
 P | f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14  | fault?
---+-----------+---------
 7 |  7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
 6 |  7  6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
 4 |  7  6  4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
12 |  7  6  4 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
20 |  7  6  4 12 20 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
 3 |  7  6  4 12 20  3 -1 -1 -1 -1 -1 -1 -1 -1  | 
 8 |  7  6  4 12 20  3  8 -1 -1 -1 -1 -1 -1 -1  | 
11 |  7  6  4 12 20  3  8 11 -1 -1 -1 -1 -1 -1  | 
13 |  7  6  4 12 20  3  8 11 13 -1 -1 -1 -1 -1  | 
 6 |  7  6  4 12 20  3  8 11 13 -1 -1 -1 -1 -1  | 
 1 |  7  6  4 12 20  3  8 11 13  1 -1 -1 -1 -1  | 
 8 |  7  6  4 12 20  3  8 11 13  1 -1 -1 -1 -1  | 
24 |  7  6  4 12 20  3  8 11 13  1 24 -1 -1 -1  | 
11 |  7  6  4 12 20  3  8 11 13  1 24 -1 -1 -1  | 
 6 |  7  6  4 12 20  3  8 11 13  1 24 -1 -1 -1  | 
10 |  7  6  4 12 20  3  8 11 13  1 24 10 -1 -1  | 
14 |  7  6  4 12 20  3  8 11 13  1 24 10 14 -1  | 
 7 |  7  6  4 12 20  3  8 11 13  1 24 10 14 -1  | 
13 |  7  6  4 12 20  3  8 11 13  1 24 10 14 -1  | 
 8 |  7  6  4 12 20  3  8 11 13  1 24 10 14 -1  | 
23 |  7  6  4 12 20  3  8 11 13  1 24 10 14 23  | 
 8 |  7  6  4 12 20  3  8 11 13  1 24 10 14 23  | 
22 |  7  6 22 12 20  3  8 11 13  1 24 10 14 23  | Page fault
21 |  7  6 22 21 20  3  8 11 13  1 24 10 14 23  | Page fault
11 |  7  6 22 21 20  3  8 11 13  1 24 10 14 23  | 
18 |  7  6 22 21 18  3  8 11 13  1 24 10 14 23  | Page fault
22 |  7  6 22 21 18  3  8 11 13  1 24 10 14 23  | 
23 |  7  6 22 21 18  3  8 11 13  1 24 10 14 23  | 
22 |  7  6 22 21 18  3  8 11 13  1 24 10 14 23  | 
12 |  7  6 22 21 18 12  8 11 13  1 24 10 14 23  | Page fault
21 |  7  6 22 21 18 12  8 11 13  1 24 10 14 23  | 
 6 |  7  6 22 21 18 12  8 11 13  1 24 10 14 23  | 
17 |  7  6 22 21 18 12  8 11 13 17 24 10 14 23  | Page fault
18 |  7  6 22 21 18 12  8 11 13 17 24 10 14 23  | 
20 |  7  6 22 21 18 12  8 11 13 17 20 10 14 23  | Page fault
19 |  7  6 22 21 18 12  8 11 13 17 20 19 14 23  | Page fault
 9 |  7  6 22 21 18 12  8 11 13 17 20 19  9 23  | Page fault
Statistics:
faults/non-faults/total accesses: 8/29/37
Total page faults 8. Page faults with optimal algo: 6
