Using 'lru' page replacement algorithm
 P | f1 f2 f3 f4 f5 f6 f7  | fault?
---+-----------+---------
 7 |  7 -1 -1 -1 -1 -1 -1  | 
 6 |  7  6 -1 -1 -1 -1 -1  | 
 4 |  7  6  4 -1 -1 -1 -1  | 
12 |  7  6  4 12 -1 -1 -1  | 
20 |  7  6  4 12 20 -1 -1  | 
 3 |  7  6  4 12 20  3 -1  | 
 8 |  7  6  4 12 20  3  8  | 
11 | 11  6  4 12 20  3  8  | Page fault
13 | 11 13  4 12 20  3  8  | Page fault
 6 | 11 13  6 12 20  3  8  | Page fault
 1 | 11 13  6  1 20  3  8  | Page fault
 8 | 11 13  6  1 20  3  8  | 
24 | 11 13  6  1 24  3  8  | Page fault
11 | 11 13  6  1 24  3  8  | 
 6 | 11 13  6  1 24  3  8  | 
10 | 11 13  6  1 24 10  8  | Page fault
14 | 11 14  6  1 24 10  8  | Page fault
 7 | 11 14  6  7 24 10  8  | Page fault
13 | 11 14  6  7 24 10 13  | Page fault
 8 | 11 14  6  7  8 10 13  | Page fault
23 | 23 14  6  7  8 10 13  | Page fault
 8 | 23 14  6  7  8 10 13  | 
22 | 23 14 22  7  8 10 13  | Page fault
21 | 23 14 22  7  8 21 13  | Page fault
11 | 23 11 22  7  8 21 13  | Page fault
18 | 23 11 22 18  8 21 13  | Page fault
22 | 23 11 22 18  8 21 13  | 
23 | 23 11 22 18  8 21 13  | 
22 | 23 11 22 18  8 21 13  | 
12 | 23 11 22 18  8 21 12  | Page fault
21 | 23 11 22 18  8 21 12  | 
 6 | 23 11 22 18  6 21 12  | Page fault
17 | 23 17 22 18  6 21 12  | Page fault
18 | 23 17 22 18  6 21 12  | 
20 | 20 17 22 18  6 21 12  | Page fault
19 | 20 17 19 18  6 21 12  | Page fault
 9 | 20 17 19 18  6 21  9  | Page fault
Statistics:
faults/non-faults/total accesses: 21/16/37
Total page faults 21. Page faults with optimal algo: 14
