Using 'opt' page replacement algorithm
 P | f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14  | fault?
---+-----------+---------
 7 |  7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
 6 |  7  6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
 4 |  7  6  4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
12 |  7  6  4 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
20 |  7  6  4 12 20 -1 -1 -1 -1 -1 -1 -1 -1 -1  | 
 3 |  7  6  4 12 20  3 -1 -1 -1 -1 -1 -1 -1 -1  | 
 8 |  7  6  4 12 20  3  8 -1 -1 -1 -1 -1 -1 -1  | 
11 |  7  6  4 12 20  3  8 11 -1 -1 -1 -1 -1 -1  | 
13 |  7  6  4 12 20  3  8 11 13 -1 -1 -1 -1 -1  | 
 6 |  7  6  4 12 20  3  8 11 13 -1 -1 -1 -1 -1  | 
 1 |  7  6  4 12 20  3  8 11 13  1 -1 -1 -1 -1  | 
 8 |  7  6  4 12 20  3  8 11 13  1 -1 -1 -1 -1  | 
24 |  7  6  4 12 20  3  8 11 13  1 24 -1 -1 -1  | 
11 |  7  6  4 12 20  3  8 11 13  1 24 -1 -1 -1  | 
 6 |  7  6  4 12 20  3  8 11 13  1 24 -1 -1 -1  | 
10 |  7  6  4 12 20  3  8 11 13  1 24 10 -1 -1  | 
14 |  7  6  4 12 20  3  8 11 13  1 24 10 14 -1  | 
 7 |  7  6  4 12 20  3  8 11 13  1 24 10 14 -1  | 
13 |  7  6  4 12 20  3  8 11 13  1 24 10 14 -1  | 
 8 |  7  6  4 12 20  3  8 11 13  1 24 10 14 -1  | 
23 |  7  6  4 12 20  3  8 11 13  1 24 10 14 23  | 
 8 |  7  6  4 12 20  3  8 11 13  1 24 10 14 23  | 
22 | 22  6  4 12 20  3  8 11 13  1 24 10 14 23  | Page fault
21 | 22  6 21 12 20  3  8 11 13  1 24 10 14 23  | Page fault
11 | 22  6 21 12 20  3  8 11 13  1 24 10 14 23  | 
18 | 22  6 21 12 20 18  8 11 13  1 24 10 14 23  | Page fault
22 | 22  6 21 12 20 18  8 11 13  1 24 10 14 23  | 
23 | 22  6 21 12 20 18  8 11 13  1 24 10 14 23  | 
22 | 22  6 21 12 20 18  8 11 13  1 24 10 14 23  | 
12 | 22  6 21 12 20 18  8 11 13  1 24 10 14 23  | 
21 | 22  6 21 12 20 18  8 11 13  1 24 10 14 23  | 
 6 | 22  6 21 12 20 18  8 11 13  1 24 10 14 23  | 
17 | 22 17 21 12 20 18  8 11 13  1 24 10 14 23  | Page fault
18 | 22 17 21 12 20 18  8 11 13  1 24 10 14 23  | 
20 | 22 17 21 12 20 18  8 11 13  1 24 10 14 23  | 
19 | 22 17 21 19 20 18  8 11 13  1 24 10 14 23  | Page fault
 9 | 22 17 21 19  9 18  8 11 13  1 24 10 14 23  | Page fault
Statistics:
faults/non-faults/total accesses: 6/31/37
Total page faults 6. Page faults with optimal algo: 6
