Using 'opt' page replacement algorithm
 P | f1 f2 f3 f4 f5 f6 f7  | fault?
---+-----------+---------
 7 |  7 -1 -1 -1 -1 -1 -1  | 
 6 |  7  6 -1 -1 -1 -1 -1  | 
 4 |  7  6  4 -1 -1 -1 -1  | 
12 |  7  6  4 12 -1 -1 -1  | 
20 |  7  6  4 12 20 -1 -1  | 
 3 |  7  6  4 12 20  3 -1  | 
 8 |  7  6  4 12 20  3  8  | 
11 |  7  6  4 12 11  3  8  | Page fault
13 |  7  6 13 12 11  3  8  | Page fault
 6 |  7  6 13 12 11  3  8  | 
 1 |  7  6 13 12 11  1  8  | Page fault
 8 |  7  6 13 12 11  1  8  | 
24 |  7  6 13 12 11 24  8  | Page fault
11 |  7  6 13 12 11 24  8  | 
 6 |  7  6 13 12 11 24  8  | 
10 |  7  6 13 12 11 10  8  | Page fault
14 |  7  6 13 12 11 14  8  | Page fault
 7 |  7  6 13 12 11 14  8  | 
13 |  7  6 13 12 11 14  8  | 
 8 |  7  6 13 12 11 14  8  | 
23 | 23  6 13 12 11 14  8  | Page fault
 8 | 23  6 13 12 11 14  8  | 
22 | 23  6 13 12 11 14 22  | Page fault
21 | 23  6 21 12 11 14 22  | Page fault
11 | 23  6 21 12 11 14 22  | 
18 | 23  6 21 12 18 14 22  | Page fault
22 | 23  6 21 12 18 14 22  | 
23 | 23  6 21 12 18 14 22  | 
22 | 23  6 21 12 18 14 22  | 
12 | 23  6 21 12 18 14 22  | 
21 | 23  6 21 12 18 14 22  | 
 6 | 23  6 21 12 18 14 22  | 
17 | 23 17 21 12 18 14 22  | Page fault
18 | 23 17 21 12 18 14 22  | 
20 | 23 17 21 20 18 14 22  | Page fault
19 | 23 17 21 19 18 14 22  | Page fault
 9 | 23 17 21 19 18  9 22  | Page fault
Statistics:
faults/non-faults/total accesses: 14/23/37
Total page faults 14. Page faults with optimal algo: 14
